NomFrançais|NomAnglais|Date|CAS|NoUN|Classification|PourcentageDeDivulgation|Annexe 4|Commentaire|
Éther de diéthylène glycol monobutylique|Diethylene glycol monobutyl ether|2015-08-20|112-34-5||DP.6.4, DS.3.2A|Réglementation|||
Éther de diéthylène glycol monoéthylique|Diethylene glycol monoethyl ether|2016-08-26|111-90-0||DP.6.4|Réglementation|||
Éther de diéthylèneglycol et de diéthyle|Diethylene glycol diethyl ether|2019-09-12|112-36-7||DP.6.4|Non requise|||
Éther de diéthylèneglycol et de monométhyle|Diethylene glycol monomethyl ether|2019-08-14|111-77-3||DP.6.4, DS.7.2|Réglementation|||
Éther de diglycidyle et de résorcinol|Diglycidyle resorcinol ether|2014-11-14|101-90-6||DS.1c.99, DS.1i.99, DS.1o.99, DS.4r.99, DS.5.99, DS.6.2, DS.7.99, DS.7a.99, DS.8.99, DS.9.99|Réglementation||Cette classification provient d’une conversion informatique de la classification établie en vertu du Règlement sur les produits contrôlés. La classification complète selon le Règlement sur les produits dangereux sera établie ultérieurement.|
Éther de glycidyle et d'ortho-crésol|o-Cresyl glycidyl ether|2014-11-14|2210-79-9||DS.1c.99, DS.1i.99, DS.1o.99, DS.2.2, DS.4c.1, DS.8.99|Réglementation||Cette classification provient d’une conversion informatique de la classification établie en vertu du Règlement sur les produits contrôlés. La classification complète selon le Règlement sur les produits dangereux sera établie ultérieurement.|
Éther de hexachloro-2,2',3,3',4,4' diphényle|1,1'-Oxybis (2,3,4-trichlorobenzene)|2014-11-14|71585-39-2||DS.1c.99, DS.1i.99, DS.1o.99, DS.8.99|Réglementation||Cette classification provient d’une conversion informatique de la classification établie en vertu du Règlement sur les produits contrôlés. La classification complète selon le Règlement sur les produits dangereux sera établie ultérieurement.  Ce produit n’était pas contrôlé en vertu du Règlement sur les produits contrôlés.|
Éther de méthyle et de butyle tertiaire|Methyl tert-butyl ether|2016-03-01|1634-04-4|UN2398|DP.6.2, DS.2.2|Réglementation|||
Éther de poly(oxyéthylène) nonylphénol|Nonylphenol ethoxylate|2016-09-27|9016-45-9||Produit non contrôlé|Non requise||Le numéro de CAS 9016-45-9 représente une famille de polymères de nonyl phénol ethoxylé. Cette famille est composée de différents produits ayant des longueurs de chaînes variables. Les propriétés toxicologiques et physico-chimiques du polymère varient en fonction de la longueur de la chaîne. Veuillez vous référer à la fiche de données de sécurité du fournisseur pour connaître les propriétés d'un produit spécifique.|
Éther de polyéthylèneglycol et d'octylphényle|Polyethylene glycol octylphenyl ether|2016-08-26|9036-19-5||DS.3.2|Réglementation|||
Éther dibutylique du diéthylène glycol|Diethylene glycol dibutyl ether|2016-08-17|112-73-2||Produit non contrôlé|Non requise|||
Éther diéthylique|Diethyl ethyl|2015-02-25|60-29-7|UN1155|DP.6.1, DS.1o.4, DS.8n.3|Réglementation|||
Éther diglycidique|Diglycidyl ether|2015-12-03|2238-07-5||DP.6.4, DS.1c.4, DS.1i.1, DS.1o.4, DS.2.2, DS.3.2, DS.9.1|Réglementation|||
Éther diglycidique de l'hexanediol-1,6|1,6-Hexanediol diglycidyl ether|2014-11-14|16096-31-4||DS.1c.99, DS.1i.99, DS.1o.99, DS.7a.99, DS.8.99|Réglementation||Cette classification provient d’une conversion informatique de la classification établie en vertu du Règlement sur les produits contrôlés. La classification complète selon le Règlement sur les produits dangereux sera établie ultérieurement.  Ce produit n’était pas contrôlé en vertu du Règlement sur les produits contrôlés.|
Éther diisopropylique|Diisopropyl ether|2015-08-20|108-20-3|UN1159|DP.6.2|Réglementation|||
Éther diphénylique|Diphenyl ether|2015-08-07|101-84-8||Produit non contrôlé|Non requise|||
Éther d'isopropyle et de glycidyle|Isopropyl glycidyl ether|2015-09-22|4016-14-2||DP.6.3, DS.1i.3, DS.2.2, DS.3.2|Réglementation|||
Éther hexachlorodiphénylique|Hexachloro diphenyl ether|2015-08-07|55720-99-5||Produit non contrôlé|Non requise|||
Éther monobutylique de propylène glycol|Propylene glycol monobutyl ether|2016-08-24|5131-66-8||DP.6.4, DS.2.2, DS.3.2|Réglementation|||
Éther monoéthylique de l'éthylène glycol|Ethylene glycol monoethyl ether|2015-09-23|110-80-5|UN1171|DP.6.3, DS.1i.4, DS.3.2, DS.7.1B|Réglementation|||
Éther monoéthylique du dipropylène glycol|Dipropylene glycol monoethyl ether|2014-11-14|15764-24-6||DS.1c.99, DS.1i.99, DS.1o.99, DS.8.99|Réglementation||Cette classification provient d’une conversion informatique de la classification établie en vertu du Règlement sur les produits contrôlés. La classification complète selon le Règlement sur les produits dangereux sera établie ultérieurement.|
Éther monométhylique de l'éthylène glycol|Ethylene glycol monomethyl ether|2015-10-14|109-86-4|UN1188|DP.6.3, DS.1c.4, DS.1i.3, DS.7.1B, DS.9.1|Réglementation|||
Éther monométhylique d'hydroquinone|Hydroquinone monomethyl ether|2015-08-27|150-76-5||DP.17.99, DS.1o.4, DS.4c.1|Réglementation||Ce produit pourrait appartenir à la classe de danger "Poussières combustibles" en fonction de divers facteurs qui influencent la combustibilité et l'explosivité des poussières, notamment la composition, la forme et la taille des particules.|
Éther monométhylique du dipropylène glycol|Dipropylene glycol monomethyl ether|2015-08-18|34590-94-8||DP.6.4|Réglementation|||
Éther monométhylique du propylène glycol|Propylene glycol monomethyl ether|2015-08-19|107-98-2||DP.6.3, DS.8n.3|Réglementation|||
Éther monopropylique de l'éthylène glycol|2-Propoxyethanol|2016-08-24|2807-30-9||DP.6.3, DS.1c.4, DS.3.2A|Réglementation|||
ETHER PENTABROMODIPHENYLIQUE|PENTABROMODIPHENYL ETHER|2016-08-17|32534-81-9||DS.3.2A, DS.9.3|Réglementation|||
Éther phénylique glycidique|Phenyl glycidyl ether|2015-10-06|122-60-1||DS.1c.4, DS.2.2, DS.4c.1, DS.6.2|Réglementation|||
ETHER TETRABROMODIPHENYLIQUE|TETRABROMODIPHENYL ETHER|2016-08-17|40088-47-9||DS.9.3|Réglementation||En raison du manque de données, la classification concernant la toxicité pour certains organes cibles - exposition répétée (H373) a été établie par analogie à l'éther pentabromodiphénylique.|
ETHER TRIBROMODIPHENYLIQUE|TRIBROMODIPHENYL ETHER|2016-08-17|49690-94-0||DS.9.3|Réglementation||En raison du manque de données, la classification concernant la toxicité pour certains organes cibles - exposition répétée (H373) a été établie par analogie à l'éther pentabromodiphénylique.|
Éthoxy-3 propionate d'éthyle|Ethyl 3-ethoxypropionate|2016-07-19|763-69-9||DP.6.3|Réglementation|||
Éthoxylate d'alkylphénol ramifié|Branched-nonylphenol ethoxylate|2016-07-19|68412-54-4||DS.2.2|Réglementation|||
Éthoxylate d'aluminium|Aluminum triethoxyde|2014-11-14|555-75-9||DS.1c.99, DS.1i.99, DS.1o.99, DS.7a.99, DS.8.99|Réglementation||Cette classification provient d’une conversion informatique de la classification établie en vertu du Règlement sur les produits contrôlés. La classification complète selon le Règlement sur les produits dangereux sera établie ultérieurement.  Ce produit n’était pas contrôlé en vertu du Règlement sur les produits contrôlés.|
Éthyl butyl cétone|3-Heptanone|2015-10-06|106-35-4||DP.6.3, DS.1i.4|Réglementation||Les données disponibles indiquent que la CL50 de l'éthylbutylcétone est inférieure à 18,68 mg/L/4h et supérieure à 9,34 mg/L/4h. La classification de la toxicité aigue par inhalation (H332) a été établie en utilisant 18,68 mg/L/4h. À cette dose, tous les animaux sont décédés. Ce produit pourrait donc être classifié dans une catégorie de danger plus sévère (H331).|
Éthyl cellulose|Ethyl cellulose|2016-07-04|9004-57-3||DP.17.99|Réglementation||Ce produit pourrait appartenir à la classe de danger "Poussières combustibles" en fonction de divers facteurs qui influencent la combustibilité et l'explosivité des poussières, notamment la composition, la forme et la taille des particules.|
Éthyl n-amyl cétone|3-Octanone|2014-11-14|106-68-3|UN2271|DP.6.3, DS.1c.99, DS.1i.99, DS.1o.99, DS.8.99|Réglementation||Cette classification provient d’une conversion informatique de la classification établie en vertu du Règlement sur les produits contrôlés. La classification complète selon le Règlement sur les produits dangereux sera établie ultérieurement.|
Éthyl sec-amyl cétone|Ethyl sec-amyl ketone|2016-03-02|541-85-5|UN2271|DP.6.3, DS.2.2|Réglementation|||
Éthyl-2 hexanol|2-Ethylhexanol|2015-02-23|104-76-7||DP.6.4, DS.1c.99, DS.1i.99, DS.1o.99, DS.2.99, DS.3.2, DS.4c.99, DS.5.99, DS.7a.99, DS.8.99, DS.9.99|Réglementation||Cette classification provient d’une conversion informatique de la classification établie en vertu du Règlement sur les produits contrôlés. La classification complète selon le Règlement sur les produits dangereux sera établie ultérieurement.|
Éthyl-2 toluène|2-Ethyl toluene|2014-11-14|611-14-3||DP.6.3, DS.1c.99, DS.1i.99, DS.1o.99, DS.8.99|Réglementation||Cette classification provient d’une conversion informatique de la classification établie en vertu du Règlement sur les produits contrôlés. La classification complète selon le Règlement sur les produits dangereux sera établie ultérieurement.|
Éthyl-3 toluène|3-Ethyl toluene|2014-11-14|620-14-4||DP.6.3, DS.1c.99, DS.1i.99, DS.1o.99, DS.8.99|Réglementation||Cette classification provient d’une conversion informatique de la classification établie en vertu du Règlement sur les produits contrôlés. La classification complète selon le Règlement sur les produits dangereux sera établie ultérieurement.|
Éthylamine|Ethylamine|2015-10-06|75-04-7|UN1036|DP.2.1, DP.5.2, DS.1c.3, DS.1i.4, DS.1o.4, DS.2.1, DS.3.1, DS.12co.1|Réglementation|||
Éthylamine, chlorhydrate d'|Ethylamine hydrochloride|2014-11-14|557-66-4||DS.1c.99, DS.1i.99, DS.1o.99, DS.8.99|Réglementation||Cette classification provient d’une conversion informatique de la classification établie en vertu du Règlement sur les produits contrôlés. La classification complète selon le Règlement sur les produits dangereux sera établie ultérieurement.  Ce produit n’était pas contrôlé en vertu du Règlement sur les produits contrôlés.|
Éthylate de sodium|Sodium ethylate|2015-02-27|141-52-6||DS.1c.99, DS.1i.99, DS.1o.99, DS.2.1, DS.3.1, DS.7a.99, DS.8.99, DS.12co.1|Réglementation||Cette classification provient d’une conversion informatique de la classification établie en vertu du Règlement sur les produits contrôlés. La classification complète selon le Règlement sur les produits dangereux sera établie ultérieurement.|
Éthylbenzène|Ethylbenzene|2015-08-05|100-41-4|UN1175|DP.6.2, DS.1i.4, DS.2.2, DS.6.2, DS.10.1|Réglementation|||
Éthylène|Ethylene|2015-09-10|74-85-1|UN1962|DP.2.1, DP.5.2, DP.18.1, DS.5.2|Réglementation|||
Éthylène glycol|Ethylene glycol|2020-01-29|107-21-1||DS.1o.4, DS.8.1, DS.8i.3|Réglementation|||
Éthylène imine|Aziridine|2015-10-06|151-56-4|UN1185|DP.6.2, DS.1c.1, DS.1i.1, DS.1o.2, DS.2.1, DS.3.1, DS.6.2, DS.9.1, DS.12co.1|Réglementation|||
N,N'-Éthylènebis(stéaramide)|N,N'-Ethylenebis(stearamide)|2014-11-14|110-30-5||DS.1c.99, DS.1i.99, DS.1o.99, DS.8.99|Réglementation||Cette classification provient d’une conversion informatique de la classification établie en vertu du Règlement sur les produits contrôlés. La classification complète selon le Règlement sur les produits dangereux sera établie ultérieurement.  Ce produit n’était pas contrôlé en vertu du Règlement sur les produits contrôlés.|
2-(2-Éthylhexyloxy)éthanol|2-(2-Ethylhexyloxy)ethanol|2014-11-14|1559-35-9||DS.1c.99, DS.1i.99, DS.1o.99, DS.2.2, DS.3.2, DS.7a.99, DS.8.99|Réglementation||Cette classification provient d’une conversion informatique de la classification établie en vertu du Règlement sur les produits contrôlés. La classification complète selon le Règlement sur les produits dangereux sera établie ultérieurement.|
Éthylidène norbornène|Ethylidene norbornene|2015-10-06|16219-75-3||DP.6.3, DS.1i.4, DS.2.2, DS.4c.1B|Réglementation|||
Éthylmercaptan|Ethylmercaptan|2015-09-16|75-08-1|UN2363|DP.6.1, DS.1i.4, DS.1o.4, DS.8n.3|Réglementation|||
Éthylmorpholine|n-Ethylmorpholine|2015-10-14|100-74-3||DP.6.3, DS.1o.4, DS.3.2|Réglementation|||
Éthylvanilline|Ethyl vanillin|2015-07-31|121-32-4||DS.3.2B|Réglementation|||
Extraits de pétrole (fraction intermédiaire du distillat)|Middle distillate solvent extract (petroleum)|2014-11-14|64742-06-9||DS.1c.99, DS.1i.99, DS.1o.99, DS.8.99|Réglementation||Cette classification provient d’une conversion informatique de la classification établie en vertu du Règlement sur les produits contrôlés. La classification complète selon le Règlement sur les produits dangereux sera établie ultérieurement.|
Fer (métal)|Iron|2016-07-11|7439-89-6||DP.17.1|Réglementation|||
Ferbam|Ferbam|2015-10-06|14484-64-1||Produit non contrôlé|Non requise|||
Ferricyanure de potassium|Potassium ferricyanide|2016-07-05|13746-66-2||Produit non contrôlé|Non requise|||
Ferricyanure de sodium|Sodium ferricyanide|2014-11-14|14217-21-1||DS.1c.99, DS.1i.99, DS.1o.99, DS.7a.99, DS.8.99|Réglementation||Cette classification provient d’une conversion informatique de la classification établie en vertu du Règlement sur les produits contrôlés. La classification complète selon le Règlement sur les produits dangereux sera établie ultérieurement.  Ce produit n’était pas contrôlé en vertu du Règlement sur les produits contrôlés.|
Ferrocyanure de potassium|Potassium ferrocyanide|2015-09-03|13943-58-3||Produit non contrôlé|Non requise|||
Ferrocyanure de tétrapotassium trihydraté|Potassium ferrocyanide trihydrate|2014-11-14|14459-95-1||DS.1c.99, DS.1i.99, DS.1o.99, DS.7a.99, DS.8.99|Réglementation||Cette classification provient d’une conversion informatique de la classification établie en vertu du Règlement sur les produits contrôlés. La classification complète selon le Règlement sur les produits dangereux sera établie ultérieurement.  Ce produit n’était pas contrôlé en vertu du Règlement sur les produits contrôlés.|
Ferromanganèse|Ferromanganese|2016-11-10|12604-53-4||DP.17.99, DS.9.1|Réglementation||Ce produit pourrait appartenir à la classe de danger "Poussières combustibles" en fonction de divers facteurs qui influencent la combustibilité et l'explosivité des poussières, notamment la composition, la forme et la taille des particules.|
Ferrosilicium contenant 30% ou plus mais moins de 90% de silicium|Ferrosilicon, with 30% or more but less than 90% silicon|2014-11-14|8049-17-0|UN1408|DS.1c.99, DS.1i.99, DS.1o.99, DS.7a.99, DS.8.99, DP.12.99|Réglementation||Cette classification provient d’une conversion informatique de la classification établie en vertu du Règlement sur les produits contrôlés. La classification complète selon le Règlement sur les produits dangereux sera établie ultérieurement.|
Ferrovanadium|Ferrovanadium|2015-12-16|12604-58-9||DP.17.99|Réglementation||Ce produit pourrait appartenir à la classe de danger "Poussières combustibles" en fonction de divers facteurs qui influencent la combustibilité et l'explosivité des poussières, notamment la composition, la forme et la taille des particules.|
Fibres minérales naturelles Attapulgite|Fibres-Natural Mineral Fibres, Attapulgite|2016-02-23|12174-11-7||DS.6.2|Réglementation|||
Fibres minérales naturelles Wollastonite|Fibres-Natural Mineral Fibres, Wollastonite|2016-03-01|13983-17-0||Produit non contrôlé|Non requise||Ce produit pourrait contenir plus de 0.1% de silice cristalline ou quartz. Si tel est le cas, veuillez vous référer à la classification de cette dernière.|
Filaments de verre|Glass filaments|2016-01-29|||Produit non contrôlé|Non requise|||
Fluor|Fluorine|2016-01-15|7782-41-4|UN1045|DP.4.1, DP.5.1, DS.1i.1, DS.2.1, DS.3.1, DS.8i.3|Réglementation||Il n'y a aucune donnée disponible pour le fluor concernant son pouvoir d'irritation ou de corrosion. Cependant, il forme au contact de l'eau une substance corrosive: Fluorure d'hydrogène.|
Fluoranthène|Fluoranthene|2014-11-14|206-44-0||DS.1c.99, DS.1i.99, DS.1o.99, DS.3.2, DS.7a.99, DS.8.99|Réglementation||Cette classification provient d’une conversion informatique de la classification établie en vertu du Règlement sur les produits contrôlés. La classification complète selon le Règlement sur les produits dangereux sera établie ultérieurement.|
Fluorène|Fluorene|2014-11-14|86-73-7||DS.1c.99, DS.1i.99, DS.1o.99, DS.7a.99, DS.8.99|Réglementation||Cette classification provient d’une conversion informatique de la classification établie en vertu du Règlement sur les produits contrôlés. La classification complète selon le Règlement sur les produits dangereux sera établie ultérieurement.  Ce produit n’était pas contrôlé en vertu du Règlement sur les produits contrôlés.|
Fluoro-1 tétrachloro-1,1,2,2 éthane|1-Fluorotetrachloroethane|2014-11-14|354-14-3||DS.1c.99, DS.1i.99, DS.1o.99, DS.8.99|Réglementation||Cette classification provient d’une conversion informatique de la classification établie en vertu du Règlement sur les produits contrôlés. La classification complète selon le Règlement sur les produits dangereux sera établie ultérieurement.  Ce produit n’était pas contrôlé en vertu du Règlement sur les produits contrôlés.|
Fluoroacétate de sodium|Sodium fluoroacetate|2015-10-06|62-74-8|UN2629|DS.1c.1, DS.1o.1, DS.8.1|Réglementation|||
Fluorosulfate d'aluminium hydraté|Aluminum fluorosulfate hydrate|2014-11-14|73680-58-7||DS.1c.99, DS.1i.99, DS.1o.99, DS.2.99, DS.3.99, DS.4c.99, DS.5.99, DS.7a.99, DS.8.99, DS.9.99|Réglementation||Cette classification provient d’une conversion informatique de la classification établie en vertu du Règlement sur les produits contrôlés. La classification complète selon le Règlement sur les produits dangereux sera établie ultérieurement.|
Fluorotrichlorométhane|Trichlorofluoromethane|2015-09-02|75-69-4||Produit non contrôlé|Non requise|||
Fluorure cuivrique|Cupric fluoride|2015-12-22|7789-19-7||DS.3.2, DS.9.1|Réglementation||En raison du manque de données, les classifications concernant les lésions oculaires graves/irritation oculaire (H319) et la toxicité systémique pour certains organes cibles-expositions répétées (H372) ont été établies par analogie au fluorure de sodium (composé inorganique et soluble de fluor).|
Fluorure d'ammonium|Ammonium fluoride|2015-12-15|12125-01-8|UN2505|DS.1o.4, DS.3.2, DS.9.1|Réglementation||En raison du manque de données, les classifications concernant les lésions oculaires graves/irritation oculaires (H319) et la toxicité systémique pour certains organes cibles-expositions répétées (H372) ont été établies par analogie au fluorure de sodium (composé inorganique et soluble de fluor).|
Fluorure de cadmium|Cadmium fluoride|2015-12-23|7790-79-6|UN2570|DS.1o.3, DS.3.2, DS.5.2, DS.6.1A, DS.7.2, DS.9.1|Réglementation||En raison du manque de données, la classification a été établie par analogie au fluorure de sodium (composé inorganique et soluble de fluor) et aux composés de cadmium.|
Fluorure de carbonyle|Carbonyl fluoride|2015-12-21|353-50-4|UN2417|DP.5.2, DS.1i.2, DS.2.1, DS.3.1, DS.12co.1|Réglementation||Au contact de l'eau, libère des gaz mortels en cas d'inhalation. Il n'y a aucune donnée disponible pour le fluorure de carbonyle concernant son pouvoir d'irritation ou de corrosion. Cependant, il forme au contact de l'eau une substance corrosive: Fluorure d'hydrogène.|
Fluorure de césium|Cesium fluoride|2015-12-23|13400-13-0||DS.3.2, DS.9.1|Réglementation||En raison du manque de données, les classifications concernant les lésions oculaires graves/irritation oculaire (H319) et la toxicité systémique pour certains organes cibles-expositions répétées (H372) ont été établies par analogie au Fluorure de sodium (composés inorganiques et solubles de fluor).|
Fluorure de lanthane|Lanthanum fluoride|2015-12-22|13709-38-1||Produit non contrôlé|Non requise|||
Fluorure de lithium|Lithium fluoride|2015-12-23|7789-24-4||Produit non contrôlé|Non requise||Aucune donnée permettant la classification n'est disponible. Aucune relation structure-activité n'a pu être établie conformément à des principes scientifiques reconnus. Des données de toxicité aiguë par ingestion (DL50) sont disponibles pour ce produit, mais leur validité n'a pu être vérifiée.|
Fluorure de magnésium|Magnesium fluoride|2015-12-23|7783-40-6||Produit non contrôlé|Non requise||Aucune donnée permettant la classification n'est disponible. Aucune relation structure-activité n'a pu être établie conformément à des principes scientifiques reconnus.|
Fluorure de méthyle|Methyl fluoride|2014-11-14|593-53-3|UN2454|DP.2.1, DP.5.2, DS.1c.99, DS.1i.99, DS.1o.99, DS.8.99|Réglementation||Cette classification provient d’une conversion informatique de la classification établie en vertu du Règlement sur les produits contrôlés. La classification complète selon le Règlement sur les produits dangereux sera établie ultérieurement.|
Fluorure de perchloryle|Perchloryl fluoride|2015-12-21|7616-94-6|UN3083|DP.4.1, DP.5.2, DS.1i.2|Réglementation|||
Fluorure de potassium|Potassium fluoride|2015-12-15|7789-23-3|UN1812|DS.1o.3, DS.3.2, DS.9.1|Réglementation||En raison du manque de données, les classifications concernant les lésions oculaires graves/irritation oculaires (H319) et la toxicité systémique pour certains organes cibles-expositions répétées (H372) ont été établies par analogie au fluorure de sodium (composé inorganique et soluble de fluor).|
Fluorure de rubidium|Rubidium fluoride|2015-12-23|13446-74-7||DS.3.2, DS.9.1|Réglementation||En raison du manque de données, les classifications concernant les lésions oculaires graves/irritation oculaires (H319) et toxicité systémique pour certains organes cibles-expositions répétées (H372) ont été établies par analogie au Fluorure de sodium (composés inorganiques et solubles de fluor).|
Fluorure de sodium|Sodium fluoride|2015-12-21|7681-49-4|UN1690|DS.1i.3, DS.1o.3, DS.3.2, DS.9.1|Réglementation|||
Fluorure de thionyle|Thionyl fluoride|2016-02-12|7783-42-8||DP.5.99, DS.1i.1, DS.8i.3|Réglementation||Il n'y a aucune donnée disponible pour le Fluorure de thionyle concernant son pouvoir d'irritation ou de corrosion. Cependant, il peut former, au contact de l'eau, une substance corrosive: Fluorure d'hydrogène.|
Fluorure de vinyle|Fluoroethylene|2014-11-14|75-02-5|UN1860|DP.2.1, DP.5.2, DS.1c.99, DS.1i.99, DS.1o.99, DS.4r.99, DS.5.99, DS.6.1B, DS.7.99, DS.8.99, DS.9.99|Réglementation||Cette classification provient d’une conversion informatique de la classification établie en vertu du Règlement sur les produits contrôlés. La classification complète selon le Règlement sur les produits dangereux sera établie ultérieurement.|
Fluorure d'hydrogène|Hydrogen fluoride|2015-04-10|7664-39-3|UN1052|DS.1i.2, DS.2.1, DS.3.1, DS.9.1, DS.12co.1|Réglementation|||
Fluorure double d'aluminium et de sodium|Aluminum sodium fluoride|2015-12-22|15096-52-3||DS.1i.4, DS.9.1|Réglementation|||
Fluorure d'ytterbium|Ytterbium fluoride|2015-12-23|13760-80-0||Produit non contrôlé|Non requise||Aucune donnée permettant la classification n'est disponible. Aucune relation structure-activité n'a pu être établie conformément à des principes scientifiques reconnus.|
Fluorure d'yttrium|Yttrium fluoride|2015-12-23|13709-49-4||Produit non contrôlé|Non requise||Aucune donnée permettant la classification n'est disponible. Aucune relation structure-activité n'a pu être établie conformément à des principes scientifiques reconnus.|
Fluorure ferrique|Ferric fluoride|2015-12-23|7783-50-8||Produit non contrôlé|Non requise||Aucune donnée permettant la classification n'est disponible. Aucune relation structure-activité n'a pu être établie conformément à des principes scientifiques reconnus.|
Formaldéhyde|Formaldehyde|2015-09-11|50-00-0||DP.2.1, DS.1i.2, DS.3.2, DS.5.2, DS.6.1A, DS.8i.3|Réglementation|||
Formiate d'aluminium|Aluminum formate|2014-11-14|7360-53-4||DS.1c.99, DS.1i.99, DS.1o.99, DS.7a.99, DS.8.99|Réglementation||Cette classification provient d’une conversion informatique de la classification établie en vertu du Règlement sur les produits contrôlés. La classification complète selon le Règlement sur les produits dangereux sera établie ultérieurement.  Ce produit n’était pas contrôlé en vertu du Règlement sur les produits contrôlés.|
Formiate de butyle normal|n-Butyl formate|2016-08-11|592-84-7|UN1128|DP.6.2|Réglementation|||
Formiate de méthyle|Methyl formate|2015-10-27|107-31-3|UN1243|DP.6.1, DS.1o.4, DS.8i.3|Réglementation|||
Formiate de sodium|Sodium formate|2015-09-01|141-53-7||Produit non contrôlé|Non requise|||
Formiate d'éthyle|Ethyl formate|2015-07-30|109-94-4|UN1190|DP.6.2, DS.1o.4, DS.3.2A|Réglementation|||
Fraction intermédiaire hydrotraitée du distillat de pétrole|Hydrotreated middle distillate (petroleum)|2014-11-14|64742-46-7||DS.1c.99, DS.1i.99, DS.1o.99, DS.8.99|Réglementation||Cette classification provient d’une conversion informatique de la classification établie en vertu du Règlement sur les produits contrôlés. La classification complète selon le Règlement sur les produits dangereux sera établie ultérieurement.  Ce produit n’était pas contrôlé en vertu du Règlement sur les produits contrôlés.|
Fréon® E15|Freon® E15|2014-11-14|122998-72-5||DS.1c.99, DS.1i.99, DS.1o.99, DS.8.99|Réglementation||Cette classification provient d’une conversion informatique de la classification établie en vertu du Règlement sur les produits contrôlés. La classification complète selon le Règlement sur les produits dangereux sera établie ultérieurement.  Ce produit n’était pas contrôlé en vertu du Règlement sur les produits contrôlés.|
Fréon® E3|Freon® E3|2014-11-14|3330-16-3||DS.1c.99, DS.1i.99, DS.1o.99, DS.8.99|Réglementation||Cette classification provient d’une conversion informatique de la classification établie en vertu du Règlement sur les produits contrôlés. La classification complète selon le Règlement sur les produits dangereux sera établie ultérieurement.  Ce produit n’était pas contrôlé en vertu du Règlement sur les produits contrôlés.|
Fréon® E4|Freon® E4|2014-11-14|26738-51-2||DS.1c.99, DS.1i.99, DS.1o.99, DS.8.99|Réglementation||Cette classification provient d’une conversion informatique de la classification établie en vertu du Règlement sur les produits contrôlés. La classification complète selon le Règlement sur les produits dangereux sera établie ultérieurement.  Ce produit n’était pas contrôlé en vertu du Règlement sur les produits contrôlés.|
Fréon® E5|Freon® E5|2014-11-14|37486-69-4||DS.1c.99, DS.1i.99, DS.1o.99, DS.8.99|Réglementation||Cette classification provient d’une conversion informatique de la classification établie en vertu du Règlement sur les produits contrôlés. La classification complète selon le Règlement sur les produits dangereux sera établie ultérieurement.  Ce produit n’était pas contrôlé en vertu du Règlement sur les produits contrôlés.|
Fréon® E8|Freon® E|2014-11-14|27120-63-4||DS.1c.99, DS.1i.99, DS.1o.99, DS.8.99|Réglementation||Cette classification provient d’une conversion informatique de la classification établie en vertu du Règlement sur les produits contrôlés. La classification complète selon le Règlement sur les produits dangereux sera établie ultérieurement.  Ce produit n’était pas contrôlé en vertu du Règlement sur les produits contrôlés.|
Fructose (d-)|d-Fructose|2016-07-15|57-48-7||DP.17.99|Réglementation||Ce produit pourrait appartenir à la classe de danger "Poussières combustibles" en fonction de divers facteurs qui influencent la combustibilité et l'explosivité des poussières, notamment la composition, la forme et la taille des particules.|
Fumarate ferreux|Ferrous fumarate|2015-02-25|141-01-5||Produit non contrôlé|Non requise|||
Furanne|Furane|2016-07-19|110-00-9|UN2389|DP.6.1, DS.1i.3, DS.6.2|Réglementation|||
Furfuraldéhyde|Aldehyde furfurylique|2015-08-18|98-01-1|UN1199|DP.6.3, DS.1i.2, DS.1o.3, DS.2.2, DS.3.2A, DS.8i.3|Réglementation|||
Galactose|Galactose|2016-07-27|26566-61-0||DP.17.99|Réglementation||Ce produit pourrait appartenir à la classe de danger "Poussières combustibles" en fonction de divers facteurs qui influencent la combustibilité et l'explosivité des poussières, notamment la composition, la forme et la taille des particules.|
Galactose, (d-)|d-Galactose|2016-07-27|59-23-4||DP.17.99|Réglementation||Ce produit pourrait appartenir à la classe de danger "Poussières combustibles" en fonction de divers facteurs qui influencent la combustibilité et l'explosivité des poussières, notamment la composition, la forme et la taille des particules.|
Gamma-amylase|Amylase, gluco-|2014-11-14|9032-08-0||DS.1c.99, DS.1i.99, DS.1o.99, DS.4c.1, DS.7a.99, DS.8.99|Réglementation||Cette classification provient d’une conversion informatique de la classification établie en vertu du Règlement sur les produits contrôlés. La classification complète selon le Règlement sur les produits dangereux sera établie ultérieurement.|
Gaz et fumées de soudage et de coupage|Cutting and welding fume and gas|2015-02-19|||Produit non contrôlé|Non requise|||
Gaz naturel|Natural gas|2016-02-02|8006-14-2|UN1971|DP.2.1, DP.5.1, DP.18.1|Réglementation|||
Gel de silice|Silica gel|2015-03-16|63231-67-4||Produit non contrôlé|Non requise||Ce produit pourrait contenir plus de 0.1% de Silice cristalline. Si tel est le cas, veuillez vous référer à la classification de cette dernière.|
Gelée de pétrole|Petrolatum|2015-09-08|8009-03-8||Produit non contrôlé|Non requise|||
Gluceptate de sodium|Gluceptate sodium|2014-11-14|13007-85-7||DS.1c.99, DS.1i.99, DS.1o.99, DS.7a.99, DS.8.99|Réglementation||Cette classification provient d’une conversion informatique de la classification établie en vertu du Règlement sur les produits contrôlés. La classification complète selon le Règlement sur les produits dangereux sera établie ultérieurement.  Ce produit n’était pas contrôlé en vertu du Règlement sur les produits contrôlés.|
